,level,subject,gender,year,value_perc,category
0,Basic,Polish ,Women,2015,67.3,Humanistic
1,Basic,Belarusian,Women,2015,77.4,Languages
2,Basic,Lithuanian ,Women,2015,83.5,Languages
3,Basic,Ukrainian ,Women,2015,77.4,Languages
4,Basic,Maths,Women,2015,52.7,Sciences
5,Basic,English,Women,2015,75.8,Languages
6,Basic,German,Women,2015,71.9,Languages
7,Basic,French,Women,2015,82.1,Languages
8,Basic,Russian,Women,2015,68.7,Languages
9,Basic,Spanish ,Women,2015,83.9,Languages
10,Basic,Italian ,Women,2015,78.2,Languages
11,Basic,Polish ,Men,2015,62.9,Humanistic
12,Basic,Belarusian,Men,2015,67.8,Languages
13,Basic,Lithuanian ,Men,2015,73.0,Languages
14,Basic,Ukrainian ,Men,2015,78.3,Languages
15,Basic,Maths,Men,2015,58.0,Sciences
16,Basic,English,Men,2015,78.2,Languages
17,Basic,German,Men,2015,70.7,Languages
18,Basic,French,Men,2015,83.8,Languages
19,Basic,Russian,Men,2015,64.3,Languages
20,Basic,Spanish ,Men,2015,83.7,Languages
21,Basic,Italian ,Men,2015,79.1,Languages
22,Basic,Polish ,Altogether,2015,65.7,Humanistic
23,Basic,Belarusian,Altogether,2015,74.0,Languages
24,Basic,Lithuanian ,Altogether,2015,77.9,Languages
25,Basic,Ukrainian ,Altogether,2015,77.8,Languages
26,Basic,Maths,Altogether,2015,54.7,Sciences
27,Basic,English,Altogether,2015,76.7,Languages
28,Basic,German,Altogether,2015,71.5,Languages
29,Basic,French,Altogether,2015,82.5,Languages
30,Basic,Russian,Altogether,2015,67.5,Languages
31,Basic,Spanish ,Altogether,2015,83.9,Languages
32,Basic,Italian ,Altogether,2015,78.4,Languages
33,Advanced,Polish ,Women,2015,61.0,Humanistic
34,Advanced,Belarusian,Women,2015,100.0,Languages
35,Advanced,Lithuanian ,Women,2015,77.7,Languages
36,Advanced,Ukrainian ,Women,2015,97.2,Languages
37,Advanced,Maths,Women,2015,40.2,Sciences
38,Advanced,English,Women,2015,62.1,Languages
39,Advanced,German,Women,2015,61.7,Languages
40,Advanced,French,Women,2015,58.6,Languages
41,Advanced,Russian,Women,2015,65.6,Languages
42,Advanced,Spanish ,Women,2015,59.0,Languages
43,Advanced,Italian ,Women,2015,68.8,Languages
44,Advanced,Civics,Women,2015,24.7,Humanistic
45,Advanced,Geography,Women,2015,40.8,Sciences
46,Advanced,Biology,Women,2015,41.9,Sciences
47,Advanced,Chemistry,Women,2015,50.7,Sciences
48,Advanced,History,Women,2015,48.3,Humanistic
49,Advanced,Physics,Women,2015,39.3,Sciences
50,Advanced,History of music,Women,2015,63.8,Humanistic
51,Advanced,History of art,Women,2015,45.3,Humanistic
52,Advanced,Philosophy,Women,2015,64.2,Humanistic
53,Advanced,Latin and ancient culture,Women,2015,52.5,Languages
54,Advanced,Informatics,Women,2015,43.3,Sciences
55,Advanced,Kashubian,Women,2015,64.9,Languages
56,Advanced,Lemko ,Women,2015,95.0,Languages
57,Advanced,Polish ,Men,2015,60.1,Humanistic
58,Advanced,Belarusian,Men,2015,100.0,Languages
59,Advanced,Lithuanian ,Men,2015,71.8,Languages
60,Advanced,Ukrainian ,Men,2015,98.3,Languages
61,Advanced,Maths,Men,2015,42.3,Sciences
62,Advanced,English,Men,2015,64.9,Languages
63,Advanced,German,Men,2015,65.3,Languages
64,Advanced,French,Men,2015,58.7,Languages
65,Advanced,Russian,Men,2015,65.8,Languages
66,Advanced,Spanish ,Men,2015,56.3,Languages
67,Advanced,Italian ,Men,2015,71.5,Languages
68,Advanced,Civics,Men,2015,29.7,Humanistic
69,Advanced,Geography,Men,2015,42.3,Sciences
70,Advanced,Biology,Men,2015,46.5,Sciences
71,Advanced,Chemistry,Men,2015,54.5,Sciences
72,Advanced,History,Men,2015,51.7,Humanistic
73,Advanced,Physics,Men,2015,45.7,Sciences
74,Advanced,History of music,Men,2015,54.0,Humanistic
75,Advanced,History of art,Men,2015,43.6,Humanistic
76,Advanced,Philosophy,Men,2015,59.3,Humanistic
77,Advanced,Latin and ancient culture,Men,2015,62.4,Languages
78,Advanced,Informatics,Men,2015,46.7,Sciences
79,Advanced,Kashubian,Men,2015,59.0,Languages
80,Advanced,Lemko ,Men,2015,86.5,Languages
81,Advanced,Polish ,Altogether,2015,60.8,Humanistic
82,Advanced,Belarusian,Altogether,2015,100.0,Languages
83,Advanced,Lithuanian ,Altogether,2015,75.3,Languages
84,Advanced,Ukrainian ,Altogether,2015,97.7,Languages
85,Advanced,Maths,Altogether,2015,41.3,Sciences
86,Advanced,English,Altogether,2015,63.2,Languages
87,Advanced,German,Altogether,2015,62.7,Languages
88,Advanced,French,Altogether,2015,58.6,Languages
89,Advanced,Russian,Altogether,2015,65.7,Languages
90,Advanced,Spanish ,Altogether,2015,58.5,Languages
91,Advanced,Italian ,Altogether,2015,69.5,Languages
92,Advanced,Civics,Altogether,2015,26.5,Humanistic
93,Advanced,Geography,Altogether,2015,41.5,Sciences
94,Advanced,Biology,Altogether,2015,43.0,Sciences
95,Advanced,Chemistry,Altogether,2015,51.7,Sciences
96,Advanced,History,Altogether,2015,49.8,Humanistic
97,Advanced,Physics,Altogether,2015,43.8,Sciences
98,Advanced,History of music,Altogether,2015,59.8,Humanistic
99,Advanced,History of art,Altogether,2015,45.0,Humanistic
100,Advanced,Philosophy,Altogether,2015,61.9,Humanistic
101,Advanced,Latin and ancient culture,Altogether,2015,56.1,Languages
102,Advanced,Informatics,Altogether,2015,46.3,Sciences
103,Advanced,Kashubian,Altogether,2015,64.3,Languages
104,Advanced,Lemko ,Altogether,2015,95.0,Languages
105,Basic,Polish ,Women,2016,62.0,Humanistic
106,Basic,Belarusian,Women,2016,73.5,Languages
107,Basic,Lithuanian ,Women,2016,83.8,Languages
108,Basic,Ukrainian ,Women,2016,78.4,Languages
109,Basic,Maths,Women,2016,55.6,Sciences
110,Basic,English,Women,2016,70.6,Languages
111,Basic,German,Women,2016,73.0,Languages
