level,subject,gender,year,value_perc
Basic,Polish ,Women,2015,67.3
Basic,Belarusian,Women,2015,77.4
Basic,Lithuanian ,Women,2015,83.5
Basic,Ukrainian ,Women,2015,77.4
Basic,Maths,Women,2015,52.7
Basic,English,Women,2015,75.8
Basic,German,Women,2015,71.9
Basic,French,Women,2015,82.1
Basic,Russian,Women,2015,68.7
Basic,Spanish ,Women,2015,83.9
Basic,Italian ,Women,2015,78.2
Basic,Polish ,Men,2015,62.9
Basic,Belarusian,Men,2015,67.8
Basic,Lithuanian ,Men,2015,73.0
Basic,Ukrainian ,Men,2015,78.3
Basic,Maths,Men,2015,58.0
Basic,English,Men,2015,78.2
Basic,German,Men,2015,70.7
Basic,French,Men,2015,83.8
Basic,Russian,Men,2015,64.3
Basic,Spanish ,Men,2015,83.7
Basic,Italian ,Men,2015,79.1
Basic,Polish ,Altogether,2015,65.7
Basic,Belarusian,Altogether,2015,74.0
Basic,Lithuanian ,Altogether,2015,77.9
Basic,Ukrainian ,Altogether,2015,77.8
Basic,Maths,Altogether,2015,54.7
Basic,English,Altogether,2015,76.7
Basic,German,Altogether,2015,71.5
Basic,French,Altogether,2015,82.5
Basic,Russian,Altogether,2015,67.5
Basic,Spanish ,Altogether,2015,83.9
Basic,Italian ,Altogether,2015,78.4
Advanced,Polish ,Women,2015,61.0
Advanced,Belarusian,Women,2015,100.0
Advanced,Lithuanian ,Women,2015,77.7
Advanced,Ukrainian ,Women,2015,97.2
Advanced,Maths,Women,2015,40.2
Advanced,English,Women,2015,62.1
Advanced,German,Women,2015,61.7
Advanced,French,Women,2015,58.6
Advanced,Russian,Women,2015,65.6
Advanced,Spanish ,Women,2015,59.0
Advanced,Italian ,Women,2015,68.8
Advanced,Civics,Women,2015,24.7
Advanced,Geography,Women,2015,40.8
Advanced,Biology,Women,2015,41.9
Advanced,Chemistry,Women,2015,50.7
Advanced,History,Women,2015,48.3
Advanced,Physics,Women,2015,39.3
Advanced,History of music,Women,2015,63.8
Advanced,History of art,Women,2015,45.3
Advanced,Philosophy,Women,2015,64.2
Advanced,Latin and ancient culture,Women,2015,52.5
Advanced,Informatics,Women,2015,43.3
Advanced,Kashubian,Women,2015,64.9
Advanced,Lemko ,Women,2015,95.0
Advanced,Polish ,Men,2015,60.1
Advanced,Belarusian,Men,2015,100.0
Advanced,Lithuanian ,Men,2015,71.8
Advanced,Ukrainian ,Men,2015,98.3
Advanced,Maths,Men,2015,42.3
Advanced,English,Men,2015,64.9
Advanced,German,Men,2015,65.3
Advanced,French,Men,2015,58.7
Advanced,Russian,Men,2015,65.8
Advanced,Spanish ,Men,2015,56.3
Advanced,Italian ,Men,2015,71.5
Advanced,Civics,Men,2015,29.7
Advanced,Geography,Men,2015,42.3
Advanced,Biology,Men,2015,46.5
Advanced,Chemistry,Men,2015,54.5
Advanced,History,Men,2015,51.7
Advanced,Physics,Men,2015,45.7
Advanced,History of music,Men,2015,54.0
Advanced,History of art,Men,2015,43.6
Advanced,Philosophy,Men,2015,59.3
Advanced,Latin and ancient culture,Men,2015,62.4
Advanced,Informatics,Men,2015,46.7
Advanced,Kashubian,Men,2015,59.0
Advanced,Lemko ,Men,2015,0.0
Advanced,Polish ,Altogether,2015,60.8
Advanced,Belarusian,Altogether,2015,100.0
Advanced,Lithuanian ,Altogether,2015,75.3
Advanced,Ukrainian ,Altogether,2015,97.7
Advanced,Maths,Altogether,2015,41.3
Advanced,English,Altogether,2015,63.2
Advanced,German,Altogether,2015,62.7
Advanced,French,Altogether,2015,58.6
Advanced,Russian,Altogether,2015,65.7
Advanced,Spanish ,Altogether,2015,58.5
Advanced,Italian ,Altogether,2015,69.5
Advanced,Civics,Altogether,2015,26.5
Advanced,Geography,Altogether,2015,41.5
Advanced,Biology,Altogether,2015,43.0
Advanced,Chemistry,Altogether,2015,51.7
Advanced,History,Altogether,2015,49.8
Advanced,Physics,Altogether,2015,43.8
Advanced,History of music,Altogether,2015,59.8
Advanced,History of art,Altogether,2015,45.0
Advanced,Philosophy,Altogether,2015,61.9
Advanced,Latin and ancient culture,Altogether,2015,56.1
Advanced,Informatics,Altogether,2015,46.3
Advanced,Kashubian,Altogether,2015,64.3
Advanced,Lemko ,Altogether,2015,95.0
Basic,Polish ,Women,2016,62.0
Basic,Belarusian,Women,2016,73.5
Basic,Lithuanian ,Women,2016,83.8
Basic,Ukrainian ,Women,2016,78.4
Basic,Maths,Women,2016,55.6
